,fecha,confirmados_minsal,fecha_media_movil,media_movil,R0,Alpha,Beta,Gamma,S,E,I,Ia,R
0,2020-10-28,21834,2020-10-25,21115.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,627540.5106389778,625.4893610222337,1459.4751757185452,21834.0,20374.524824281456
1,2020-10-29,22020,2020-10-26,21339.285714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,627360.5959681437,596.9075781822979,1459.4751757185452,22042.496453674077,20583.021277955533
2,2020-10-30,22254,2020-10-27,21560.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,627180.7407947081,577.7935588904393,1449.9479147719,22241.46564640151,20791.51773162961
3,2020-10-31,22369,2020-10-28,21768.428571428572,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,627002.1161748348,563.8203258002754,1435.410351339394,22434.063499364987,20998.653148025594
4,2020-11-01,22462,2020-10-29,21972.428571428572,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,626825.336659801,552.6597322340592,1418.2918383195724,22622.003607965078,21203.711769645506
5,2020-11-02,22732,2020-10-30,22175.714285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,626650.7176421221,543.0588391683191,1399.89862930432,22806.223518709765,21406.324889405445
6,2020-11-03,22948,2020-10-31,22374.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,626478.4137435742,534.3431246601605,1380.9327238883807,22987.243131765874,21606.310407877492
7,2020-11-04,23141,2020-11-01,22560.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,626308.4932430974,526.1492502501942,1361.770995362475,23165.357506652595,21803.58651129012
8,2020-11-05,23387,2020-11-02,22756.14285714286,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,626140.9781095847,518.2813003462941,1342.6153651559957,23340.740590069323,21998.12522491333
9,2020-11-06,23617,2020-11-03,22950.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625975.8655362482,510.63344023404164,1323.5736035824752,23513.50102351809,22189.927419935615
10,2020-11-07,23706,2020-11-04,23141.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625813.1395252533,503.1483044842607,1304.7028069582307,23683.71217026277,22379.00936330454
11,2020-11-08,23789,2020-11-05,23331.428571428572,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625652.7771202835,495.7946079593732,1286.032793173237,23851.428271757522,22565.395478584287
12,2020-11-09,23975,2020-11-06,23509.0,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625494.7517599612,488.5550989618164,1267.5786920397084,24016.693141077314,22749.114449037606
13,2020-11-10,24214,2020-11-07,23689.85714285714,0.8929381475114156,0.3333333333333333,0.1275625925016308,0.14285714285714285,625339.0350823163,481.4200769528675,1249.3477214022603,24179.544840731254,22930.197119328994
