,fecha,confirmados_minsal,fecha_media_movil,media_movil,R0,Alpha,Beta,Gamma,S,E,I,Ia,R
0,2020-11-19,25492,2020-11-16,25091.571428571428,1.1074710223348303,0.3333333333333333,0.1582101460478329,0.14285714285714285,624114.3339351994,400.6895291647005,895.2653119281916,25484.97653563584,24589.711223707647
1,2020-11-20,25608,2020-11-17,25213.571428571428,1.1240830876698527,0.3333333333333333,0.16058329823855036,0.14285714285714285,623978.250679523,403.2096084528856,900.9334437552549,25618.53971202407,24717.606268268817
2,2020-11-21,25710,2020-11-18,25337.285714285714,1.1406951530048752,0.3333333333333333,0.16295645042926787,0.14285714285714285,623839.28144534,407.7756398181832,906.6318688935613,25752.9429148417,24846.31104594814
3,2020-11-22,25752,2020-11-19,25460.14285714286,1.1573072183398976,0.3333333333333333,0.16532960261998536,0.14285714285714285,623697.397114323,413.734757562546,913.0382437529232,25888.868128114427,24975.829884361505
4,2020-11-23,25812,2020-11-20,25569.0,1.1739192836749202,0.3333333333333333,0.16770275481070288,0.14285714285714285,623552.4609750272,420.7593110042221,920.515794785259,26026.77971396861,25106.26391918335
5,2020-11-24,25942,2020-11-21,25670.285714285714,1.1905313490099425,0.3333333333333333,0.17007590700142036,0.14285714285714285,623404.2732257528,428.6939566106213,929.266642055439,26167.032817636682,25237.766175581244
6,2020-11-25,26087,2020-11-22,25771.85714285714,1.207143414344965,0.3333333333333333,0.17244905919213785,0.14285714285714285,623252.5940060383,437.47519078821426,939.4122501558213,26309.930803173556,25370.518553017737
7,2020-11-26,26254,2020-11-23,25880.714285714286,1.2237554796799874,0.3333333333333333,0.17482221138285534,0.14285714285714285,623097.1549385814,447.08919464897855,951.0355637296326,26455.755866769632,25504.720303039998
8,2020-11-27,26378,2020-11-24,25990.714285714286,1.24036754501501,0.3333333333333333,0.17719536357357285,0.14285714285714285,622937.6645184696,457.5498832110936,964.2030718893445,26604.78559831929,25640.582526429946
9,2020-11-28,26452,2020-11-25,26096.714285714286,1.2569796103500324,0.3333333333333333,0.17956851576429034,0.14285714285714285,622773.8101909069,468.8875830368114,978.9764036421835,26757.302226056323,25778.32582241414
10,2020-11-29,26506,2020-11-26,26204.428571428572,1.2735916756850547,0.3333333333333333,0.1819416679550078,0.14285714285714285,622605.2586220566,481.14329087479206,995.4184927055705,26913.598087068596,25918.179594363024
11,2020-11-30,26603,2020-11-27,26317.428571428572,1.2902037410200773,0.3333333333333333,0.1843148201457253,0.14285714285714285,622431.6549540187,494.36586195447956,1013.596947848753,27073.97918402686,26060.382236178106
12,2020-12-01,26783,2020-11-28,26437.571428571428,1.3068158063550996,0.3333333333333333,0.1866879723364428,0.14285714285714285,622252.6214549711,508.6107403505498,1033.5860045218528,27238.767804678355,26205.1818001565
13,2020-12-02,26909,2020-11-29,26555.0,1.3234278716901222,0.3333333333333333,0.1890611245271603,0.14285714285714285,622067.7557735376,523.9395083338982,1055.4677744689143,27408.304718128536,26352.836943659622
14,2020-12-03,27039,2020-11-30,26667.14285714286,1.3400399370251446,0.3333333333333333,0.19143427671787777,0.14285714285714285,621876.6288990974,540.4198799961023,1079.3331666084641,27582.951220906503,26503.61805429804
15,2020-12-04,27141,2020-12-01,26776.14285714286,1.3566520023601671,0.3333333333333333,0.1938074289085953,0.14285714285714285,621678.782872508,558.1259465867788,1105.2826742345271,27763.091180905205,26657.808506670677
16,2020-12-05,27201,2020-12-02,26883.14285714286,1.3732640676951895,0.3333333333333333,0.19618058109931277,0.14285714285714285,621473.7282608508,577.13857604852,1133.4271315394733,27949.133163100796,26815.706031561323
17,2020-12-06,27248,2020-12-03,26989.14285714286,1.3898761330302118,0.3333333333333333,0.19855373329003026,0.14285714285714285,621260.9413927641,597.5459187856327,1163.8884952404837,28141.512688450304,26977.62419320982
18,2020-12-07,27306,2020-12-04,27089.571428571428,1.4064881983652344,0.3333333333333333,0.20092688548074777,0.14285714285714285,621039.8613410412,619.4439975799742,1196.8006831346731,28340.694661378846,27143.893978244174
19,2020-12-08,27360,2020-12-05,27172.0,1.4231002637002568,0.3333333333333333,0.20330003767146523,0.14285714285714285,620809.8866329202,642.9373731742596,1232.310489499235,28547.175993905505,27314.86550440627
20,2020-12-09,27498,2020-12-06,27256.14285714286,1.4397123290352793,0.3333333333333333,0.20567318986218275,0.14285714285714285,620570.3716640469,668.1398843228799,1270.5785915812403,28761.48845163026,27490.909860049018
21,2020-12-10,27650,2020-12-07,27343.428571428572,1.4563243943703017,0.3333333333333333,0.21428571428571427,0.14285714285714285,620320.6227884456,695.1754651498873,1311.7806589867848,28984.20174640455,27672.421087417766
